 SCF Done:  E(RB3LYP) =  -2870.32286668     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32287305     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32287958     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32288509     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32289053     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32289474     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32289899     A.U. after    8 cycles
 SCF Done:  E(RB3LYP) =  -2870.32290552     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32290835     A.U. after    8 cycles
 SCF Done:  E(RB3LYP) =  -2870.32291040     A.U. after    8 cycles
 SCF Done:  E(RB3LYP) =  -2870.32291396     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32291687     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32291958     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32292285     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32292507     A.U. after    8 cycles
 SCF Done:  E(RB3LYP) =  -2870.32292696     A.U. after    8 cycles
 SCF Done:  E(RB3LYP) =  -2870.32292976     A.U. after    8 cycles
 SCF Done:  E(RB3LYP) =  -2870.32293355     A.U. after    8 cycles
 SCF Done:  E(RB3LYP) =  -2870.32293542     A.U. after    8 cycles
 SCF Done:  E(RB3LYP) =  -2870.32293693     A.U. after    7 cycles
 SCF Done:  E(RB3LYP) =  -2870.32293916     A.U. after    8 cycles
 SCF Done:  E(RB3LYP) =  -2870.32294201     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32294633     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32295297     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32295498     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32296225     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32296461     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32296969     A.U. after    8 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297219     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297363     A.U. after    7 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297521     A.U. after    9 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297593     A.U. after    7 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297633     A.U. after    7 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297650     A.U. after    6 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297665     A.U. after    6 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297679     A.U. after    6 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297702     A.U. after    7 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297720     A.U. after    7 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297729     A.U. after    6 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297740     A.U. after    6 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297748     A.U. after    6 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297753     A.U. after    6 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297758     A.U. after    6 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297761     A.U. after    6 cycles
 SCF Done:  E(RB3LYP) =  -2870.32297763     A.U. after    6 cycles
